number,name,symbol,mass,neutrons,negativity,outerElectrons,electronConfig,groupNumber,phase,firstIonizationEnergy,halflife,meltingPoint,boilingPoint,sublimationPoint,density20,density0
55,Caesium,Cs,132.91,,0.79,1,6s^1,1,solid,375.7,,28.44,690,,1.900,
56,Barium,Ba,137.33,,0.89,2,6s^2,2,solid,502.9,,727,1637,,3.620,
57,Lanthan,La,138.91,,1.1,3,5d^1 6s^2,3,solid,538.1,,920,3470,,6.170,
58,Cer,Ce,140.12,,1.12,3,4f^1 5d^1 6s^2,La,solid,534.4,,795,3470,,6.773,
59,Praseodym,Pr,140.91,,1.13,2,4f^3 6s^2,La,solid,527,,935,3130,,"6.475 bei 25°C",
60,Neodym,Nd,144.24,,1.14,2,4f^4 6s^2,La,solid,533.1,,1024,3030,,"7.003 bei 25°C",
61,Promethium,Pm,146.92,,,2,4f^5 6s^2,La,solid,540,,1080,3000,,"7.2 bei 25°C",
62,Samarium,Sm,150.36,,1.17,2,4f^6 6s^2,La,solid,544.5,,1072,1900,,"7.536 bei 25°C",
63,Europium,Eu,151.9,,,2,4f^7 6s^2,La,solid,547.1,,826,1440,,"5.245 bei 25°C",
64,Gadolinium,Gd,157.25,,1.2,3,4f^7 5d^1 6s^2,La,solid,593.4,,1312,3000,,"7.886 bei 25°C",
65,Terbium,Tb,158.93,,,2,4f^9 6s^2,La,solid,565.8,,1356,3123,,"8.253 bei 25°C",
66,Dysprosium,Dy,162.50,,1.22,2,4f^10 6s^2,La,solid,573,,1407,2600,,"8.559 bei 25°C",
67,Holmium,Ho,164.93,,1.23,2,4f^11 6s^2,La,solid,581,,1461,2600,,"8.78 bei 25°C",
68,Erbium,Er,167.26,,1.24,2,4f^12 6s^2,La,solid,589.3,,1529,2900,,"9.045 bei 25°C",
69,Thulium,Tm,168.93,,1.25,2,4f^13 6s^2,La,solid,596.7,,1545,1950,,"9.318 bei 25°C",
70,Ytterbium,Yb,173.05,,,2,4f^14 6s^2,La,solid,603.4,,824,1430,,"6.973 bei 25°C",
71,Lutetium,Lu,174.97,,1.27,3,4f^14 5d^1 6s^2,La,solid,523.5,,1652,3330,,"9.84 bei 25°C",
